occupational status,marital status , What is the highest grade or level of schooling you completed? ,6. 你是不是在美國出生？  Were you born in the United States? ,7. 你在哪一年來到美國居住？   In what year did you come to live in the United States? ,8. 你的英文說得多好？  How well do you speak English? ,9. 你來自哪裡？（中國的城市名或Other國家名）  Where are you from? (Chinese city name or other country name)  ,10. 你現在的家庭住址的郵政編碼是多少？    What is the zip code of your current household? ,household_income
Housewife,Married,Primary School,No,1999,Not Good,Fu jian,60616,"$15,000 至 $19,999"
Housewife,Married,Primary School,No,1999,Very Bad,xi jian,60616,"$15,000 至 $19,999"
Working,Single Never Married,High School,No,2000,Not Good,Shanghai ,60616,"$15,000 至 $19,999"
Other,Single Never Married,High School,No,2003,Not Good,Taishan,60616,"$20,000 至 $34,999"
Working,Married,High School,No,1990,Good,taishan,60609,"$35,000 至 $49,999"
Unemployed,Married,University Graduate,No,2015,Not Good,Guang Zhou ,60616,"$10,000 至 $14,999"
Working,Married,High School,No,2008,Not Good,jiangmen,60616,"$20,000 至 $34,999"
Working,Married,Primary School,No,1984,Good,Hong Kong,60616,"$15,000 至 $19,999"
Working,Married,Vocational or technical school after high school,No,2006,,Shenyang,60616,"$20,000 至 $34,999"
Working,Married,High School,No,1995,Not Good,Guangdong ,60608,"$20,000 至 $34,999"
Unemployed,Married,High School,No,1985,Not Good,Gong Zhou,60616,"$10,000 至 $14,999"
Working,Married,Attended college but did not graduate,No,2015,Very Bad,Ji nan,60616,"$10,000 至 $14,999"
Unemployed,Married,Junior High,No,2014,Very Bad,Guangzhou ,60616,"<em>$0 至 $9,999"
Working,Divorced,Junior High,No,2011,Not Good,Taishan,60616,"$10,000 至 $14,999"
Unemployed,Married,Junior High,No,2002,Very Bad,Guangdong ,60616,"$10,000 至 $14,999"
Student,Married,Vocational or technical school after high school,No,2014,Not Good,Guongdong,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2005,Not Good,Guangdong ,60609,"$20,000 至 $34,999"
Unemployed,Married,Junior High,No,1997,Very Bad,Guangdong ,60616,"$35,000 至 $49,999"
Working,Married,Primary School,No,2007,Very Bad,Guangdong ,60608,"$15,000 至 $19,999"
Retired,Married,Junior High,No,1985,Very Bad,shanghai,60609,"$10,000 至 $14,999"
Housewife,Married,High School,No,2008,Not Good,Shan dong,60616,"$15,000 至 $19,999"
Working,Married,High School,No,1985,Not Good,Guangzhou,60616,"$35,000 至 $49,999"
Retired,Divorced,Junior High,No,1994,Very Bad,Guangdong ,60616,"$35,000 至 $49,999"
Housewife,Married,I have no education,No,2001,Not Good,Fuzhou,60616,"$20,000 至 $34,999"
Working,Refuse to Answer</em>,University Graduate,No,2000,Good,Vietnam,60607,"$35,000 至 $49,999"
Working,Divorced,Junior High,No,1994,Not Good,Guangdong ,60616,"$10,000 至 $14,999"
Retired,Married,University Graduate,No,1993,,Shanghai ,60632,"$10,000 至 $14,999"
Working,Widowed,High School,No,1995,Not Good,guangzhou,60632,"$10,000 至 $14,999"
Unemployed,Divorced,High School,<em>Yes（轉至Q10）,,,,60616,"<em>$0 至 $9,999"
Unemployed,Married,Junior High,No,1996,Very Bad,Guangdong ,60616,"$15,000 至 $19,999"
Housewife,Married,Junior High,No,1999,Not Good,FuKin,60616,"$50,000 至 $74,999"
Retired,Married,Primary School,No,2004,Very Bad,Hong kong,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2002,Not Good,Fijian ,60616,"$20,000 至 $34,999"
Housewife,Married,I have no education,,,,,60632,"$15,000 至 $19,999"
Working,Married,University Graduate,No,2003,Not Good,Guangdong ,60616,"$20,000 至 $34,999"
Working,Married,University Graduate,No,2010,Not Good,Guongzhou,60616,"$20,000 至 $34,999"
Retired,Married,Primary School,No,1995,Very Bad,Hongkong ,60616,"<em>$0 至 $9,999"
