Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9
pt,ibccp,surgery,shuping,scmm,pap,today,hpv,accompanied,interpreted
breast,dxmm,pt,dr,months,right,come,left,patient,lump
come,year,time,dr,need,pap,china,scmm,16,15
gyne,come,needs,week,blood,carol,said,high,concern,carole
insurance,health,mri,doesnt,near,care,lumpectomy,10,help,family
dr,result,pt,biopsy,weeks,appt,did,abnormal,come,follow
lump,need,just,sure,yrs,breast,left,doesnt,dr,calcification
scheduled,mmg,pain,breast,appt,normal,hagen,took,seen,pt
patient,annual,came,screening,scmm,help,mmg,insurance,dexa,medicaid
bx,left,needed,stereo,support,questions,pretty,worried,12,seen
